XTX_jDhpCRCSxKoR-QRvcA,
lna-1fg8q6GNVbpgIKtAig,
QTwiKjzKFt--EKulriPn2g,
-K4e6IHEaJ8F4ySclwLz1g,
SgfAo9B_WIk3TCr5NmZMBA,
Y3pqE6eBKOliXzc_cCj_LQ,
H9_4DaTM7vA2WANTCXLL-A,
TRjQBctT2dZoflRxIX_GNA,
Az8WDuYhWxmgK8b9kt4-vw,
JZMYbE4ZEM8GyvE5SzQWtg,
1tVh0GNTblhmo2o61eutJQ,
HsHeZu8Rltqn-fPNzelmUw,
7aZmHa4tSUSw2jF1I6F9pw,
kQN7H9kswggwz0oyCMwx-Q,
XaH5HyxIbTJ3Q4Iee0Dk8Q,
48LODO8YQ8pp3rACkJaDHw,
xTkhdrDdLlVb7tdeQW7icQ,
voUPLEdrWyGVlDVtVD5rTw,
QsN4m05T0NleBkPIwcoZLQ,
Oxd8qjPYX5ebujlTpIs2kw,
DGnusyHOFmL8ORCrwN6JZg,
m7bq0qnd2FT88xnHQt8l1Q,
MryqTPn7mDoAARFDitfI2w,
kJ94RVwuiHzpxOLEzRBOiA,
HHpFEaH4Z5hEtdxjNWPP2Q,
rBl-flLmkZlR0ehc0Y7gmQ,
EV5D__YgwOc0N6oXn4FzMg,
n23wgZPWpnS_nxQBuFgJuw,"
                

    Elite 2014

                

    ’13

                

    ’12

                

    ’11

        "
hZdPQrl84PaANRIwQ7zInA,
3h46NPWIT75YfaiX_C8s_Q,
dhqFWRznqZhlFRM9mGFtcQ,"
                

    Elite 2013

                

    ’12

        "
ULC4aBulo8DeayF7Swmq3Q,
WhAptn9zOaOHAmrWxxBLoA,
-toQhnuwpxT_fJtauR8WYA,
vtgsH0AtjN0MzpXhCEtJDQ,
Tn_PupPSx3ChxsB1gwbNjw,
PnFwR0yWh1mppWTcD437AQ,
LEoTdfKybD8ZfZm9EihvHw,
9Rq_7mtO3UPVfwVuDuMdYQ,
W0SFfGikdxLr3qbXy-SIHQ,
ybJEhu0Yhaw0uRsZAhpOkg,
wEI38zKuLQGqRj6OQnh_ug,
DzQKKvvgvVl458LtptKdXA,
XJZxfg8f10VRvawUYf0cZg,
tjEq7SECQoeU-B25O2C2FA,
8RZy2jl4ol3JaAAivekJFg,
QA2K4q60F8waSUjAvbBs8w,
-3AejQTozIjmie3g00HHhQ,
Tl5WAfyw7JcDBUyjcgpBnA,
ezZdnwP93Edd3dC367bsUw,
z-igtA_ckNTnjTsiDqiAZw,
U4vTUM4EVp8TaruOMkwcYA,
-ekA5WrEKGPp3BSLT391qA,"
                

    Elite 2019

                

    ’18

                

    ’15

                

    ’14

        "
pA9RfcXQCwFGlsqskW8dWw,
ibkYqp9ZEh4rCSVSVfJakg,
wX3u2TkbX6WMjNr1ujJ6HQ,
scCRRlbVEMq6cb3TToALcw,
gO-reWKkVzRDnq54S8QlhQ,
8_QO-Koml6CcA4lI6nj8KQ,
cEh4hY_t2bwE3_YlhYA3TQ,
fUnNr7_swkjt_BqtCWJyAg,
CxcsOVyTywifNOBPVDFFWw,
vPkPWZRU0Rs59oeuezra_g,
EX8vu3_KWDP61vGqMDiuTg,
KaiQJY8ZYEe783Pc2Hi5vQ,
W2m51jdTu8otwBrs-t2K1A,
roeKEqD5OFr7y-c3Axl87g,
MOha-8WugZ4fHt38-i5rGQ,
YIDSXETHMP1wTvEZ3kui9Q,
pRz9krA5_Akfl-RGw-Pk8A,
g9VFiiQfR8IIDKUnlNkbMw,
Xff62tVk6b1LDNz_zGmk3g,
wTz7tQa0nISRH6EPr_2KAQ,
1yv6GXttiII_-od7HaUcfA,"
                

    Elite 2015

                

    ’14

                

    ’13

                

    ’12

                

    ’11

                

    ’10

        "
mEqbXXJDhA7URIJauGz1HA,
ig1EERlsvQNOBuJkO2fPDw,
scUiUo1S5br1MOptVir6qg,
cm-2kuKUH8l6CCVAz_xN4Q,
QCbDB_TkZgq59tKrUButiA,
Y0-Jtwuy5zOYZOyRQjh2iA,
g-iI3MqLVYuQNLDaEgllUw,
bIabY71hskibP5a-VAL7qg,
XYjN1PVh_AEz-yoNiGeWvg,
_Vx6m0s8puADMhL9Fw3Nyg,
kaha8zx9tur9moHfBWsgzQ,
Aj9J2Fqulwj3yZi6y7jFZg,
CuUJqR23UOOprxJ83ny2ZA,
pOqTZAfjmDxgIl6jUXsCuQ,"
                

    Elite 2018

                

    ’17

                

    ’16

                

    ’15

                

    ’11

        "
A6VflNAomR_IWJRaisWpwg,
dIUb-pBmC9hpiS_Zyzst-Q,
EFlHGV_V_LA3QhG3xTDy-w,
4ifoXhsOuoJM9880uA8_fg,
YZzOm1TgkcMKh-0M-htXQA,
N7PRL-6bXA5jkKU7dl7Hjg,
DVBkUuFRNYwJeFCkbqwrFA,
ohMyxviPfcDkOW7tfr0ICQ,
2wAK8HRelMku0NVL_rlylQ,
RSaW0kC8SwMVdHybOILFUQ,
ldqLmG3MypyTtaGXFUwzvA,
wXUVNrYy_4vYbPf0CvUE4A,
mL4BRQ3kgMz22Iie5lUweQ,
hx1WhE7RZOh3abm4_EoQzQ,
TZ7bY3_-WZKOkUD_jmc38g,
WSsWBv9yq0X7qFSTIbu0Ow,
oWzW_HxBGAtbwdodtl2MNA,
qEdBGUTofgCwt_C13KAFmQ,
UgolKvzsn6I6SXhSiqm8dA,"
                

    Elite 2018

                

    ’17

        "
Tuqf7_aqyaBwWVFOiGHSNg,
elFZwjDTAhReOsLeAXAGMg,
dRTrzljekP3gOmEfZ0aqeg,
3FG_jPAK3zx52nzpdf04DQ,
TF-P4yzC-NvcmXnQLNcfuw,
AApkc6UTihJNoVKxiWZd2Q,
GPgYwCFB1tjS8d-S-jE51A,
pADbqW1Ta4-Rz4jY0TvfpA,
9Nmw7ecnzYUy-Pe3bQWJ4A,
qzjenhY70AsuktSycm_YGA,
rpx8Bor-vgObSQIXmMCC5w,
yJo89JW4b5HmSi42Gpv0pw,
MuP3AcHjXyyrpU6xWM2HbA,
EiQqqjlmJIUVUZdy_1orsQ,
bl2EvzR62XIc7w0-BD2Y3A,
iCALBC2Wl0BBr0vZBb_wWw,
KCAUDMh3rHK7X2zv9HEvIw,
KePfOHjZxSM9cRwpvuoeUg,
LAX-mM-cOJ2ownL-waC8ww,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

                
                    
    
        
    

                    
                        2 more years as an Elite
                    
                
        "
pLeYXOdHeYjN7myzqKGkXQ,
0u5BLesDJW6_RfbGgx-7qQ,
UgghSmKrCrD_uCI6XlBpqA,
MY7shMHH-u2vhRT0KGdNkA,
pDum7K5Xw17wEwCQANsKRA,
cOPxo_c9IORxJkPNml0USA,
QoTZNWAKHAYx3g747Wbj-w,
ZoOIb0xMejorf7iEwPSgaw,
3W30l2kEbW-dwPVToe3VxA,
y6lt37YO9-i1We_aY-1ecQ,
7zUPADWqNZ8MFFL7hoh3fQ,
18PrAYT_fh57Ecwh4UZq1g,
9dMsp9SCystTJTMcHg-1pA,
7AbuPNH2mz08awUwiWIIpQ,
XDRiUcnLS2VB_ftCGgc06g,
Xp0PGwIRD9GH4GBVrHzUsg,
BDUl5gqNidBhJ0chn2_FoA,
8CmiSCYpCD2oOP2x_2ZyVQ,
3vYvVLJIqJZSMQLi-5vU4Q,
KAW8D-DNbCFovNb3GYQ80g,
dNgfq8amXYsR8NLLeVzVSg,
fmcpmO9dm4OaAi7MxGVT7w,
j2uh1ikjk_H7MrrPtNRocQ,
mPyQIIHfK_jmYRHtowH4dw,
3EQ3y0h24eqeTQhn5zEJZw,
PwkzsRBobDLdRPZV77jCbQ,
0SG6VWm7arKWrXaQLfOgIA,
KHUCZdXqNteMPNU95ma3WA,
YUVM7SzqzLm_qfJh8Jv1AQ,
kfcZaNebDw9ANTCnssOrbw,
g-TC_uyF5rziSifM38cY2w,
t6i0yl0NUjWk-aCM9xvfAw,
SwNgqeB1vGX5oRXiD_hxaw,
DNtx4e8Ryepw5GbEdfkRPw,
eJPL-eQ5YDPG-UXPMM6rfQ,
Nfyw2T1Xubj_An22UjyEOA,
21TcAjiE0PcmzCVsNc6eRw,
BNQ-Y9mA4RV3eyNcFq6w8w,
txWdJLJM8ST-fbYjvYmElg,
jnk8kkzzzNKxM9kKyXo7Ag,
u1wdOIUlnixYPlACi6oz7g,
C8tDuHBQMbxXJpS1KQXCHg,
OTKU3ZTdlw4MpuUHdi4nQA,
upU8wS3uRwzvpmKmvaoeSw,
1WMvZzrsefVEalvg_l42dg,
OwIxe9Q_tbE5ybsQenRhnA,
PiYIw3vxLit4Ro8Ji1_a0g,
q7_85SBpfjw2DxX3m9AmEQ,
BjlKfI4SXDuKM3BXo1qrjg,
vOMkMT5GMCkZ88oc-2E2jw,
gU7fffDIFLEW69XOQN4zmg,
V7UtGiN2g1uI5VJmvd8MlA,
qKOmptBWt1M5SFile5rR4g,
-5KrHuDYpLaSfrfN4wJR-Q,
e4ArzDhKpnOP4h8aBjcu8w,
B2zW2h--MgJYX70dPgYYlg,
PJJPxUP2W_qOXgefIIczqw,
j9kbgUynliQP-HcnQ9MFxw,
xtzmc3EG3UgC5Lj5AGVwNg,
92YjjuWDspfds-909SwJAw,
-COliz-b54UieW6btDEMCg,
XD_SGGnLRR-NmdI_jjobZg,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

        "
UUwTGP4DFttyI3FP_D9iEw,
IYxiuZY1bll5AcwQ1RmvJg,
zORQY85qUfWiIEltLOxG1g,"
                

    Elite 2016

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

                

    ’10

                

    ’09

        "
722_fCJ6HiUcidSi2nGkZA,"
                

    Elite 2017

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

        "
B0580-f81_SphjRniX08Cg,
PNOI0vUTxERmWGKqgOKCEw,
R6OaetG-u4aYox_2yeYaug,
9yx7LDE_CV1SyA2eCxGsZw,
l8yhfVY-6aYRhv4SG5vzjg,
WNEhy_duQzJZJWk899Xv0A,
Cs33LRHPqSCNyfFWelrX2w,
iACSmXr8pwyIQmdgiiVTrg,
szc6DSEKB6Z-iA3uDzxq4Q,
pM2fmj3FX4unJ9j4eJD1VQ,
7Oo2nTV41BVn1G9GSdngEg,
KjvqrxqvN_MsBDthyvPhQw,
ENkPSb9UeKvcXN70sjITCw,
Hudv0f-mJo6MofUg3218qg,
wMvko9l5U5YHbkESSAnpFA,
XRSdeFZosqxyykWA1Ii3HA,
N3S9GGkxk9r7f3IE5v0PyQ,
0dIrWmYCuHCvQoYAxz6c7g,
NSWxfEFKYLUwjb-l3LyARg,
5aqZNKe_QoPNFpx6sHYTtA,
iCXdNnSUtm0G34ujh3NdDg,
yiqer1_gtt4hA5aAYpN1pQ,
TlCPvJyUMc4PEMSj8xrQRg,
h42Xr4ereXtlE9dMek6RwA,
ys14P6DhDqMABfxeXckbYw,
uACGJgaz47e8B3cQ6apQTg,
6_Dngeu6sNjD59EtBoctKQ,
fgzFOOn32vpuPp8qT54y9g,
i3Lkp3iWa0H8YLoPHVvj5w,
t4ODo7VLGp-ndZXaQWIQLw,"
                

    Elite 2015

        "
gEz7grxRfiHJIE24rmwEyA,
vcfbJ8w4IwVuaWV-n_lAOA,
pRN9jbNYPlVFwICeH-kWOw,
YqLQSei5yzvAiAFhD2CN9w,
uLgOaTe_dHSwem1Q56xrcQ,
aaUBhtQnqLRFOGRohn0IPQ,
znhRY2OtBpa_u3y6wyECDA,
62RKmLicnsrqO_SLw1tbvQ,
xqazRi47jSVd11QQaGRtwQ,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

                

    ’16

                

    ’15

        "
m1FB9DtxHVGSLxeruqAMKw,
MU18LuTIhGETBXMpRq4AJw,
-kbUzcwDGuhGi2bdwX_MPQ,
cyHKHaKxTPBhIig4Jcjhlg,
noCiEXRy_DnJfYDzf2D_ww,
-bErvoQyYsIBm2rTurCKJg,
ziB6bbEn2MgCFpTWfJJDdQ,
veYx6H1fEr99NFfg_jdPqA,"
                

    Elite 2015

                

    ’14

                

    ’13

                

    ’12

        "
q5IcFZzjKq9ahkqfMJg6PQ,
WemMmnuSkcRmw-4iZMh3mw,
DDsE5TbjXsQwXwe7kAhyJw,
oQu2bKFiMTuy5Du30phrYQ,
mcLXiS17eroAhypdvRgZYg,
Edo8wo5Ro2kjgMNxZaRiTQ,
g-1HWjri6cyj5ZCbS7s9Mw,
rzvHud5xOs63T49dm8Fj4w,
KqkZm-YEFL2NAi2lfsv8MA,
t-xmQYP_5DouipTKlsQggw,
BpOCic3lrL-eaiokOCNQUQ,
jZryaivmSWo4vDh8jRzyKA,
J0zOvm1-DHsUl7SOjbyfdA,
P1hlXpjRldmaoBSLi2oHNA,
dsCN689_Oi-_h3VPD33Ljg,
wJ06L6XjOreYoOeLL4rjzg,
cD3UGeQbC51q-PlbilIGaA,
ymjmt_ze7D0SM7VSI4HNgQ,
IHOcSLT474UpIe18m0ogPg,
WUACGZfRBk9OtG2R9LLMEw,
Qvm4WAZ8lQQHftENSXuMwQ,
JfIXSYcDpGp3m0HtDU06SQ,
9zKFdN6d0CTw1fIUM8acNQ,
DfVEpvUDeISNsvjEW_deKw,
Gdb0YWAw3ewjsw30ZcZqww,
jvefM2hr_eGSv7kfKbIdpg,"
                

    Elite 2020

                

    ’19

                

    ’18

                

    ’17

        "
tJOo5vxCCeIuCM_wt4Prlg,
d8f5rME24Dz5UqtKommMNQ,
vK-eRePhdc2mz2_uIWWEyw,
KZZZwSFWjIeP27V6uA8UTQ,
W8aoHKIpM4bMh0vwVjEzMg,
bxXg950VrrRRDN_LiUeW0A,
g9Zazr50sOvv7WLaUGPAkA,
9Phd_hI-Z83tv-2d9vkTiA,
XI1jfudrVXRTgd2WHUlxzg,
L_xVaHPLQqfv9znv4gBKYw,
ePbZr_yLV1K_wKkeedNjvw,
Gnx1OIEhWT0pq_1KIs-imQ,"
                

    Elite 2014

        "
d5L3dHx7-EH9K6k3j16cWA,
o2Vs6LYL5hRlDBrVvxHP4w,
uSgodcGPE3WLI5kWPyJ6Mw,
QKT_X3T2s3Gj9ypvCvWKcA,
esLU0CZDylCXP5_wKMniUA,
6uy6tFCrtcGMUjE2R8o9RQ,
plz0otiK3zwqTHjqwVInOw,
fKRnOif_66pei4QViTg4MQ,
erYgNyDPVAgwv4NVRYqxcQ,
9Dnj3HTsYG9o6SxH7oha2A,
Jue898zQqrj8ACA2tZN6Qw,
6cySKLkt1BskSjaBw1ohNw,
5CLnF1_qpgQF3q1urulhJg,
P2v3zUcP7wE9dCYQZ5jLJQ,
z7v_XT6yAYGcFfE8bkuZaA,
4qonXWfsbxuzOhT8St4HFQ,
yrs0P4NOvaziTgS907hRZw,
TrlS0fQA4I_O8CSKcj_qkQ,
xwoXutAQvG1rp1kjekN0Rw,
UeCzt09vphtxnya748kbhg,
CX7NbJ-yfaptqcnoHMTndQ,
x-eKxGlnfizb_FsYMpf0jQ,
fT79fTNTOazeeevN7lNsMQ,
p2J-_dt4S7aFIgOaFlYrIA,"
                

    Elite 2019

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

        "
bciJ6ucazrwi6EWxtvJI9Q,
FgVwqwRf1q6udLN7ynhwLw,
cbLJptqtOvS72hcdKTjqWQ,
ThIx6ox0hKZWtoeAWQi6Ng,
DSDC1QaSUgTVYU1mTZIEAQ,
oAZhcRUWz1Y_R1TT6L4bJg,
sNRahtuvmiU6pYestk_9yg,
nCesgJ15ffMN2ktQJF06rw,
OpsuHBvA31t1iWdjseguQA,
UiXe6rVlKejDOA_hehRncQ,
d9YSvnubtBt0ZpKcB3BRvA,
M_VlclfPWd7z1vxuEdsQeg,
JFXiGqnQAlmRssbeG-cpzw,
Cl6GePlX5CQGou2EVafcfA,
kWx2p_eVxQR0qMKLaDcyKw,
E0pDwYzqY9hqPB-AeaWwXA,
QERwKMB11_FXGIfMzM1vyQ,
m_Jh2lBa7UPweOYeKoiuNg,
_77s6LTBJ4BrDoR1phYiWg,
N6citIfmwbLvA_YuDniCow,
oOA72Nwwe5eVsnF1kdHGoA,
VvYGyClaBnckadd6iqTJtQ,
OuEkAZ5nw9cg-6KpcB1UTA,
F_N0helEAAC_S9Ktjz6lOA,
4GWUMUxStIanzHNj725BQA,
FS85Pxap1mwdOQoJThRG-g,"
                

    Elite 2019

        "
1JLKfv27EtIBC3hiHFPvQw,
uJ5XdO1ylFhlajXrCJuc0A,
FT3s0-gciUsaAnkTFhwP6g,
fMnwCOUf8OhO-QX6g6TwhQ,
biexbqXFrSBH81NBH7p4Qw,
VMeRDusYE3wii9y_5NbtYw,
i5u0SMf_HyzftxA8Rea6hw,
kA0AIv552kL5vhis2sHzhg,
w1CYD3yWvajHzAbyNEjKuQ,
UVjx1obpvmyV8vQqHxKupw,
TsW8BZttb4HIQ0cM0ty-7Q,
mswloq-IjRr9yXLhBqBPAw,"
                

    Elite 2019

                

    ’18

                

    ’17

                

    ’16

                

    ’15

                

    ’14

                

    ’13

                

    ’12

                

    ’11

        "
4EgIdlIXNGY29oR6i7saVg,
yrjVi7W0tC3SHEWMX4QMqA,
XY-6VpbsfBJO1_-dRgvE3g,
-56FHrnq015Z_CpNOnT29A,
CYGqx8ORg_-nY929GMiWyg,
fhfMsy9S2I06o0qvfjGenw,
qf5M2G2-QAJrwwuAU7c1mA,
gK6lNTGjn0Zvrb9BCMyHhg,
uV1eViyh3ezVdmF5LHmNNQ,
bsX01Mb5X2KNjm-5dIN7RA,
T0Z-Yq4Lpa_1dvuAtOYGlg,
jCQ3408CVkn4odJvwo6AkA,
2Ui4vaZEITJMOAWiD9hylg,
z88nmQxg7B_8SQhJLqa2Yg,
VK1J4qbAvfjLQeimZ9M8GQ,
FBsxdqwNncrnGiMNfNU3Gw,
axfWPQ8jtD00kVmpG4FC5A,
vPsATIRaGZUOzXLZ5UqhNA,
b-Wi2ssYwlkVYOSutaHZig,
ZUyyKJQKMGJfh3oxjVPang,
dcXf1iYsfo5ByGr7jlpxGQ,
NzsvzqyupJ-DoU72TQptzg,
0LaM8LM_oO_XkU_l4BMoSA,
dkYNRppFvXjP__A0Sf1oFQ,
ZRoLep7EN1O2WA8kZ-Dqyw,
5dvc7_zpTgfcGAq0Y3TZ_Q,
XRzdJhTrs2i3Ll1R_GVi_w,
wST2jFaXFtsaNyL0fIYGFQ,
5nsRvRa3uHCO5C3nZY67_g,
loHnD7YZ5f3Io2dlHVtH-Q,
yvR3XZA1kcCWg3dwL4k75g,
wOUO6ImksKe6UJ2wEbaa1g,
xHAynujZ2IvJjEMaao6WQg,
JDHvQr96uNvJoDQWm-GjZQ,
1I6jk8o3BRi-5uyZ2hhUxA,
FhWZLo0-BsmKOXt2UmI-vA,
0tRY8fYLn8zFwTQwTRGu7A,
4vPUtSOKhZDlyP28a0llCg,
uf4hrMjc5f-aKSZ6-w2zmg,
Ayb5ALg4oe9Fyeczzi40YA,
DPO85DwZRdwO7daHHbZlcQ,
-jw_yU1TkmzfpxbRpO-wZw,
Xh8VRN0etw9u3k10nQgmjA,
9Pm38n2uOOu82NGvYj31cg,"
                

    Elite 2019

        "
qAMgKZeSjOSiwir8Dk6S-A,
IPvlz609_3NRBFlyBuUMUA,
puvDc7qQ9Yw91OezAKujdA,
Rv6Rn056y-eq4Ha_ZaQjuw,
sSJX4h0avf5OVvuqJclE5Q,
SfxfL829ViFZdkFixyKRTQ,
1z-bRtiVtpvwVDlTxg9BPQ,
B45S5vxGBV9BpGsmrAfvhQ,
ZV3aBiVchNN8z-rre2daaQ,
G5sJysofIn4UUp9HK8729g,
-lax4vB95WPfnLJcUrVd_w,
KK6OhvHs-8E8t1DXkH0XYQ,
uQJ_n5JF8huq0FkzHXwpYg,
Fn8Lym7TKmfyA4-7UYvmDw,
EFhLbc7w4yerrE3s9AwTgw,
MJy1IuZoibooZuxez491gw,
eSo5hmAF_UW1N5XFsx0q7Q,
atrX8ff3TckeiLeXoTqbkg,
yiBMQ2TX6z9LqggewUKhsA,
9gHCoISsUSPcv8oiwH6pqQ,
oHSKz7M2jZ5g7Fl6Uv495A,
ws8ekS5S8ZJEZtfw5rh6Iw,
sqI6nhxY6-vMfFpwFB3XZA,
vkoYuc7dUG2E86uo1VtuqQ,
SEzeLr07EhmgdL-HLp95yQ,
S_ZeV8xFftBLtfDEilqFTw,
hDt5BWKQgdDZLFu-Rzr6Qw,
GBl8SFpiAXYedz522QYbzQ,
NdJzD2mtQKkxlJxEAmTHMg,
BI3G1Od1L_baBRt5-FIR2A,
08u8i59XEGZinyYAeaMk1w,
fTmRYPobsPw1CZKSkPxmSw,
OUt6C673NTj4kXJS2UsEuw,
pRoD8uWwg4YJDT-z6eHitA,
kVI4r3fkj5blDBZQ2gfEVw,"
                

    Elite 2017

                

    ’16

                

    ’15

        "
kaxbXcEtI-O3Ahw5GfP14g,
1YedCHnnASJqoVD9zs7MYw,
BTXYiYO0SqKxyRo0MowFBA,
QNlylMuHO58rMUZfk88RGQ,
_zv7fmA9G5KS0xxAksEUWw,
C2LS0G-V8ASR3gSONCUhYA,
M10wmE-o-vqnQANEzu0x8g,
EcAKmokQmvqWP-NuyC4T2A,
dRPiYKO5UsgkuUqq9u9T9w,
VTvBN7e32bVSRm-NKYw58A,
LFSOEHziYy9PxGXkZTM61Q,"
                

    Elite 2018

                

    ’17

                

    ’16

                

    ’15

                

    ’14

        "
J5UEluxLLHjsEez_bFjmLQ,
SR-bolIz8cKAoW5FHMmEXA,
WcwGHpXEFNadCFltO-9vTQ,
RlfCWGdLKXNrayhxupKuqw,
HoiZ9RBtmSxfN9Ly1ghqjg,
XK11r0xV65h8SLvEETnszg,
6wIXulIM_dgaDyFmlY844A,
c0UJR7iu4gaAyLqb0RPjzw,
TUw_XhvKoUOCS9EvLA8fuw,
vpsFQrALHqQ8we_5IWNLMA,
YdtL2lRj8MtDuY4818JA-g,
e9ranEybgW5tt2vnsM8GUQ,
0-lC6pZJeAqde4_RnuP0ng,
oJsg-uL6XFuQX_KDoEnbpw,
V8He3a_VBMqXHaCbjvcnxA,
xlwJnSBYYsVLUoqh7f7sEA,
